61,9057			03/01/2020
61,9057			04/01/2020
61,9057			05/01/2020
61,9057			06/01/2020
61,9057			07/01/2020
61,9057			08/01/2020
61,9057			09/01/2020
61,2340			10/01/2020
61,2632			11/01/2020
61,2632			12/01/2020
61,2632			13/01/2020
60,9474			14/01/2020
61,4140			15/01/2020
61,4328			16/01/2020
61,5694			17/01/2020
61,5333			18/01/2020
61,5333			19/01/2020
61,5333			20/01/2020
61,4654			21/01/2020
61,8552			22/01/2020
61,8343			23/01/2020
61,9515			24/01/2020
61,8031			25/01/2020
61,8031			26/01/2020
61,8031			27/01/2020
62,3380			28/01/2020
62,8299			29/01/2020
62,3934			30/01/2020
63,0359			31/01/2020
63,1385			01/02/2020
63,1385			02/02/2020
63,1385			03/02/2020
63,9091			04/02/2020
63,4342			05/02/2020
63,1742			06/02/2020
62,7977			07/02/2020
63,4720			08/02/2020
63,4720			09/02/2020
63,4720			10/02/2020
63,7708			11/02/2020
63,9490			12/02/2020
63,0470			13/02/2020
63,6016			14/02/2020
63,4536			15/02/2020
63,4536			16/02/2020
63,4536			17/02/2020
63,3085			18/02/2020
63,7698			19/02/2020
63,6873			20/02/2020
63,7413			21/02/2020
64,3008			22/02/2020
64,3008			23/02/2020
64,3008			24/02/2020
64,3008			25/02/2020
64,9213			26/02/2020
65,5177			27/02/2020
65,6097			28/02/2020
66,9909			29/02/2020
66,9909			01/03/2020
66,9909			02/03/2020
66,3274			03/03/2020
66,4437			04/03/2020
66,0784			05/03/2020
66,1854			06/03/2020
67,5175			07/03/2020
67,5175			08/03/2020
67,5175			09/03/2020
67,5175			10/03/2020
72,0208			11/03/2020
71,4720			12/03/2020
74,0274			13/03/2020
73,1882			14/03/2020
73,1882			15/03/2020
73,1882			16/03/2020
74,1262			17/03/2020
73,8896			18/03/2020
77,2131			19/03/2020
80,1570			20/03/2020
78,0443			21/03/2020
78,0443			22/03/2020
78,0443			23/03/2020
80,8815			24/03/2020
78,8493			25/03/2020
77,7928			26/03/2020
78,7223			27/03/2020
77,7325			28/03/2020
77,7325			29/03/2020
77,7325			30/03/2020
77,7325			31/03/2020
77,7325			01/04/2020
77,7325			02/04/2020
